Horizontal Table Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,,,11/10/2015  2:32:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ag3280,,Al3082,Al3961,,As1890,,Au2427,,B_2496,,B_2497,,Ba2304,,Ba4130,,Ba4554,,Ba,,Ba4934,,Be3130,,Bi2230,,Bi3067,,Ca,,Ca3158,,Ca3179,,Ca3933,,Cd2265,,Cd2288,,Ce4040,,Ce5353,,Co2286,,Co2311,,Co2388,,Cr2677,,Cu3247,,Dy3531,,Er3372,,Eu3819,,Fe2382,,Fe,,Fe2599,,Ga2943,,Gd3350,,Ge2651,,Hf3399,,Hg1942,,Ho3456,,In2306,,In3256,,Ir2242,,K,,K_7664,,La3337,,Li6707,,Lu2615,,Mg,,Mg2790,,Mg2852,,Mn2576,,Mn2593,,Mo2020,,Mo2848,,Na5889,,Na5895,,Na8183,,Nb3094,,Nd4012,,Ni2316,,Os2255,,P_2136,,Pb2203,,Pd3404,,Pr4143,,Pt2144,,Rh3434,,Ru2678,,S_1826,,Sb2068,,Sc3613,,Se1960,,Si2516,,Sm3306,,Sn1899,,Sr2152,,Sr2282,,Sr4077,,Sr,,Sr4215,,Ta2685,,Tb3509,,Te2142,,Th2837,,Ti3349,,Tl1908,,Tm3131,,U_3670,,V_3093,,W_2397,,Y_3710,,Yb3289,,Zn2138,,Zn2138,,Zr3391,
9/4/2014   4:40:16PM,,,,Blank,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, -47.82,,,,,,,,,, -29.66,,,, 10360.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16.24,,,,,,,,,,,,,,,,,,,,,, -31.52,,,,,,,,,, 3.269,,,, 6.012,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -46.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:41:51PM,,,,CalibStd-1,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 2864.,,,,,,,,,, 217.5,,,, 61290.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 245.1,,,,,,,,,,,,,,,,,,,,,, 75.57,,,,,,,,,, 27.52,,,, 1191.,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8456.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:43:24PM,,,,CalibStd-2,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 5773.,,,,,,,,,, 345.3,,,, 89260.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 472.1,,,,,,,,,,,,,,,,,,,,,, 226.7,,,,,,,,,, 52.76,,,, 2406.,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 17090.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:44:56PM,,,,CalibStd-3,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 31650.,,,,,,,,,, 1604.,,,, 349500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2368.,,,,,,,,,,,,,,,,,,,,,, 476.4,,,,,,,,,, 257.4,,,, 12570.,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 89580.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:46:34PM,,,,CalibStd-4,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 122200.,,,,,,,,,, 4695.,,,, 995900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8998.,,,,,,,,,,,,,,,,,,,,,, 1997.,,,,,,,,,, 948.9,,,, 48000.,,,,,,,, 27790.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 342400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:48:18PM,,,,CalibStd-5,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 594800.,,,,,,,,,, 22770.,,,, 4546000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 44030.,,,,,,,,,,,,,,,,,,,,,, 9909.,,,,,,,,,, 4665.,,,, 236500.,,,,,,,, 122500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1651000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:50:09PM,,,,CalibStd-6,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 2791000.,,,,,,,,,, 109500.,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 211100.,,,,,,,,,,,,,,,,,,,,,, 49090.,,,,,,,,,, 22910.,,,, 1093000.,,,,,,,, 607900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:52:05PM,,,,IPC,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,,F 2.162,,,,,,,,,,F 2.163,,,, 2.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F 2.107,,,,,,,,,,,,,,,,,,,,,, 10.08,,,,,,,,,, 2.044,,,,F 2.149,,,,,,,,F 1.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:54:12PM,,,,Calib. Blank QC,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,,F .0007,,,,,,,,,,F .0012,,,,F .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F -.0001,,,,,,,,,,,,,,,,,,,,,,F -.0018,,,,,,,,,,F .0065,,,,F .0002,,,,,,,,^F *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F .0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:56:08PM,,,,QCS,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, 5.142,,,,,,,,,, 5.122,,,, 4.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.153,,,,,,,,,,,,,,,,,,,,,, 10.09,,,,,,,,,, 5.023,,,,F 5.280,,,,,,,, 25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:58:18PM,,,,Calibration Blank1,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0004,,,,,,,,,, .2838,,,, .2816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0012,,,,,,,,,,,,,,,,,,,,,, .0095,,,,,,,,,, .0144,,,, .0004,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   4:59:49PM,,,,Calibration Blank2,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0004,,,,,,,,,, .0633,,,, .0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0013,,,,,,,,,,,,,,,,,,,,,, .0018,,,,,,,,,, -.0004,,,, .0002,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:01:22PM,,,,Calibration Blank3,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .0609,,,, .0613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0010,,,,,,,,,,,,,,,,,,,,,, .0150,,,,,,,,,, .0033,,,, -.0001,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014   5:02:54PM,,,,Calibration Blank4,,James,Cenovus (25),,,,,,,,,,,,,,,,,,,,,,,,, .0002,,,,,,,,,, .0625,,,, .0615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -.0015,,,,,,,,,,,,,,,,,,,,,, .0104,,,,,,,,,, .0066,,,, -.0000,,,,,,,,^ *****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, .0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
