[Header]	
System	Liquids	
S/W Version	1.00	
User	James	
Date/Time	11/9/2015 12:20:16 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	
Catalyst	TC/TN	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	Auto. Dil.	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 2:22:00 PM	1	1	TN	0.000	0.000	 	0	40	1.000	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 2:24:43 PM	1	2	TN	0.000	0.000	 	0	40	1.000	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 2:27:28 PM	1	3	TN	0.000	0.000	 	0	40	1.000	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 2:39:04 PM	2	1	TN	84.06	10.00	 	0	40	9.905	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 2:44:04 PM	2	2	TN	83.44	10.00	 	0	40	9.905	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 2:49:02 PM	2	3	TN	83.64	10.00	 	0	40	9.905	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 2:58:18 PM	3	1	TN	220.7	25.00	 	0	40	3.962	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 3:03:33 PM	3	2	TN	224.8	25.00	 	0	40	3.962	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 3:08:45 PM	3	3	TN	221.3	25.00	 	0	40	3.962	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 3:20:16 PM	4	1	TN	453.5	50.00	 	0	40	1.981	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 3:25:33 PM	4	2	TN	446.2	50.00	 	0	40	1.981	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 3:31:01 PM	4	3	TN	453.8	50.00	 	0	40	1.981	
Standard	TN	Standard	Standard	C:\TOC-L\CalCurves\TN_2014_08_18.2015_03_06_14_15_44.cal		1.00	Cal Curve OK	3/6/2015 3:39:59 PM	5	1	TN	679.5	75.00	 	0	40	1.321	
