Determination start,Ident,Sample type,Method name,User (short name),Info 1,Anions.Chloride.Concentration,Anions.Bromide.Concentration,Anions.Sulfate.Concentration,Anions.Iodide.Concentration,Organic Acids.Formic acid.Concentration,Organic Acids.Acetic acid.Concentration,Organic Acids.Propionic acid.Concentration,Organic Acids.Butyrate.Concentration
 
2015-11-09 10:42:32 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.070,,,,,
2015-11-09 09:36:56 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.070,,,,,
2015-11-09 08:29:26 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,1.938,,,,,
2015-11-05 10:57:35 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-11-05 09:52:06 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-11-05 08:44:46 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,1.582,,,,,
2015-11-02 10:49:13 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.071,,,,,
2015-11-02 09:43:36 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,0.071,,,,,
2015-11-02 08:36:09 UTC-7,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-10-30 10:53:01 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.091,,,,,
2015-10-30 09:47:31 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.091,,,,,
2015-10-30 08:40:10 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.900,,,,,
2015-10-26 10:47:56 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.071,,,,,
2015-10-26 09:42:20 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.071,,,,,
2015-10-26 08:34:53 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.207,,,,,,
2015-10-23 13:29:35 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.071,,,,,
2015-10-23 12:24:04 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.070,,,,,
2015-10-23 11:16:46 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.162,2.471,,,,,
2015-10-19 12:32:40 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-10-19 11:27:04 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-10-19 10:19:36 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.166,,,,,,
2015-10-15 10:54:11 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.175,,,,,,,
2015-10-15 09:48:38 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.174,,,,,,,
2015-10-15 08:41:19 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.052,,,,,
2015-10-13 11:15:51 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.174,,,,,,,
2015-10-13 10:10:17 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.175,,,,,,,
2015-10-13 09:02:50 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.264,2.712,,,,,
2015-10-08 10:54:28 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.177,,,,,,,
2015-10-08 09:48:57 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.177,,,,,,,
2015-10-08 08:41:37 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.647,,,,,
2015-10-05 10:51:55 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-10-05 09:46:17 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-10-05 08:38:46 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.864,,,,,
2015-10-01 13:18:48 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-10-01 12:13:13 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-10-01 11:05:47 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.559,,,,,
2015-09-28 11:03:52 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.070,,,,,
2015-09-28 09:58:22 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.170,,0.072,,,,,
2015-09-28 08:51:00 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.975,,,,,
2015-09-24 11:30:17 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.079,,,,,
2015-09-24 10:24:41 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.079,,,,,
2015-09-24 09:17:14 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.504,,,,,
2015-09-21 11:00:59 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.070,,,,,
2015-09-21 09:55:27 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.069,,,,,
2015-09-21 08:48:05 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.863,,,,,
2015-09-17 13:01:47 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-09-17 11:56:11 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-09-17 10:48:44 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-09-14 10:57:27 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.070,,,,,
2015-09-14 09:51:53 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.071,,,,,
2015-09-14 08:44:26 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,2.602,,,,,
2015-09-08 10:54:50 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.069,,,,,
2015-09-08 09:49:15 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-09-08 08:41:37 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.181,,,,,,
2015-09-04 16:25:18 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.069,,,,,
2015-09-04 15:19:48 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.069,,,,,
2015-09-04 14:12:28 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.125,2.280,,,,,
2015-08-31 10:54:36 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-08-31 09:49:02 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-08-31 08:41:36 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.486,,,,,
2015-08-28 10:54:35 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.080,,,,,,
2015-08-28 09:48:59 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-08-28 08:41:32 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.925,,,,,
2015-08-24 10:54:12 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.069,,,,,
2015-08-24 09:48:37 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.173,,0.070,,,,,
2015-08-24 08:41:14 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.827,,,,,
2015-08-20 11:07:01 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.067,,,,,
2015-08-20 10:01:25 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.066,,,,,
2015-08-20 08:53:55 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.289,,,,,,
2015-08-17 10:58:36 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.069,,,,,
2015-08-17 09:52:59 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.068,,,,,
2015-08-17 08:45:29 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-08-14 01:55:59 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.071,,,,,
2015-08-14 00:50:18 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.733,4.911,4.928,4.853,,,,
2015-08-13 23:44:26 UTC-6,CVE1508A008,Sample,Cenovus anions,Lifeng,20 x dilution,131.904,0.649,3.543,0.123,,,,
2015-08-13 22:38:32 UTC-6,CVE1508A007,Sample,Cenovus anions,Lifeng,20 x dilution,126.145,0.634,3.795,0.127,,,,
2015-08-13 21:32:30 UTC-6,CVE1508A006,Sample,Cenovus anions,Lifeng,20 x dilution,131.886,0.652,3.144,0.124,,,,
2015-08-13 20:26:13 UTC-6,CVE1508A005,Sample,Cenovus anions,Lifeng,20 x dilution,136.994,0.707,1.669,0.141,,,,
2015-08-13 19:20:20 UTC-6,CVE1508A004,Sample,Cenovus anions,Lifeng,20 x dilution,194.297,1.262,2.687,0.401,,,,
2015-08-13 18:14:27 UTC-6,CVE1508A003 dup,Sample,Cenovus anions,Lifeng,20 x dilution,139.734,0.701,1.278,0.111,,,,
2015-08-13 17:08:34 UTC-6,CVE1508A003,Sample,Cenovus anions,Lifeng,20 x dilution,140.639,0.701,1.297,0.112,,,,
2015-08-13 16:02:42 UTC-6,CVE1508A002,Sample,Cenovus anions,Lifeng,20 x dilution,133.933,0.660,1.193,0.121,,,,
2015-08-13 14:56:49 UTC-6,CVE1508A001,Sample,Cenovus anions,Lifeng,20 x dilution,132.689,0.662,3.775,0.127,,,,
2015-08-13 13:50:57 UTC-6,LFB,Sample,Cenovus anions,Lifeng,,9.929,1.911,1.925,1.949,,,,
2015-08-13 12:45:04 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.074,4.885,4.930,4.871,,,,
2015-08-13 11:39:13 UTC-6,LRB,Sample,Cenovus anions,Lifeng,,,,0.069,,,,,
2015-08-13 10:33:25 UTC-6,IPCs,Sample,Cenovus anions,Lifeng,,99.563,4.879,4.825,4.839,,,,
2015-08-13 09:25:58 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.063,,,,,
2015-08-13 00:38:41 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.173,,0.070,,,,,
2015-08-12 23:32:08 UTC-6,Standard 6,Standard 6,Cenovus anions,Lifeng,,199.917,10.044,10.070,10.054,,,,
2015-08-12 22:26:06 UTC-6,Standard 5,Standard 5,Cenovus anions,Lifeng,,100.610,5.012,5.022,5.040,,,,
2015-08-12 21:20:06 UTC-6,Standard 4,Standard 4,Cenovus anions,Lifeng,,49.332,1.932,1.936,1.981,,,,
2015-08-12 20:13:57 UTC-6,Standard 3,Standard 3,Cenovus anions,Lifeng,,24.961,0.497,0.491,0.487,,,,
2015-08-12 19:08:02 UTC-6,Standard 2,Standard 2,Cenovus anions,Lifeng,,5.048,0.135,0.252,0.115,,,,
2015-08-12 18:02:15 UTC-6,Standard 1,Standard 1,Cenovus anions,Lifeng,,2.571,0.089,0.228,0.075,,,,
2015-08-12 16:54:34 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.784,0.066,0.245,0.056,,,,
2015-08-12 16:18:02 UTC-6,Standard 4,Standard 4,Cenovus anions,Lifeng,,49.896,1.951,2.072,1.991,,,,
2015-08-12 15:12:02 UTC-6,Standard 3,Standard 3,Cenovus anions,Lifeng,,25.133,0.509,0.201,0.500,,,,
2015-08-12 14:06:03 UTC-6,Standard 2,Standard 2,Cenovus anions,Lifeng,,5.401,0.150,0.196,0.139,,,,
2015-08-12 13:00:11 UTC-6,Standard 1,Standard 1,Cenovus anions,Lifeng,,2.927,0.106,0.213,0.093,,,,
2015-08-12 11:52:15 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.555,0.325,,,,,,
2015-08-10 11:02:31 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.203,,,,,
2015-08-10 09:56:56 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.203,,,,,
2015-08-10 08:49:19 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.537,0.259,,,,,
2015-08-06 16:58:16 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.215,,,,,
2015-08-06 15:52:44 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.214,,,,,
2015-08-06 14:45:08 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.326,0.269,,,,,
2015-08-04 16:21:49 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.198,,,,,
2015-08-04 15:16:19 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.198,,,,,
2015-08-04 14:08:57 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.369,2.027,,,,,
2015-07-30 10:47:47 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.196,,,,,
2015-07-30 09:42:17 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.550,,0.195,,,,,
2015-07-30 08:34:56 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,1.209,,,,,
2015-07-27 10:43:31 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.202,,,,,
2015-07-27 09:37:56 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.554,,0.205,,,,,
2015-07-27 08:30:30 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.248,,,,,,
2015-07-24 16:13:07 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.567,,0.199,,,,,
2015-07-24 15:07:38 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,0.566,,0.199,,,,,
2015-07-24 14:00:10 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.298,1.791,,,,,
2015-07-15 17:50:22 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.196,,,,,
2015-07-15 16:44:30 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.598,4.861,5.057,4.862,,,,
2015-07-15 15:38:33 UTC-6,CVE1507A002,Sample,Cenovus anions,Lifeng,40 x dilution,116.014,0.964,0.304,0.429,,,,
2015-07-15 14:32:41 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,50.442,4.843,5.028,4.866,,,,
2015-07-15 13:25:05 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.193,,,,,
2015-07-14 18:10:12 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.195,,,,,
2015-07-14 17:04:26 UTC-6,Standard 6,Standard 6,Cenovus anions,Lifeng,,199.873,10.044,10.002,10.031,,,,
2015-07-14 15:56:35 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.217,,,,,
2015-07-14 11:47:44 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,0.206,,,,,
2015-07-14 10:41:48 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,51.288,4.922,5.079,4.839,,,,
2015-07-14 09:35:54 UTC-6,CVE1504A005 Duplicate,Sample,Cenovus anions,Lifeng,,125.247,0.630,3.272,0.131,,,,
2015-07-14 08:30:00 UTC-6,CVE1504A005,Sample,Cenovus anions,Lifeng,20 x dilution,131.475,0.652,3.329,0.129,,,,
2015-07-14 07:24:03 UTC-6,CVE1504A004,Sample,Cenovus anions,Lifeng,20 x dilution,134.269,0.672,1.495,0.132,,,,
2015-07-14 06:18:07 UTC-6,CVE1507A003,Sample,Cenovus anions,Lifeng,20 x dilution,132.629,0.665,1.979,0.131,,,,
2015-07-14 05:12:09 UTC-6,CVE1507A002,Sample,Cenovus anions,Lifeng,20 x dilution,231.642,1.937,0.419,0.789,,,,
2015-07-14 04:06:11 UTC-6,CVE1507A001,Sample,Cenovus anions,Lifeng,20 x dilution,126.255,0.619,2.713,0.116,,,,
2015-07-14 03:00:14 UTC-6,LFB,Sample,Cenovus anions,Lifeng,,10.281,1.907,2.034,1.936,,,,
2015-07-14 01:54:16 UTC-6,QCs,Check standard 1,Cenovus anions,Lifeng,,51.386,4.937,5.103,4.881,,,,
2015-07-14 00:48:15 UTC-6,LRB,Sample,Cenovus anions,Lifeng,,,,0.206,,,,,
2015-07-13 23:42:24 UTC-6,IPC,Sample,Cenovus anions,Lifeng,,100.415,4.929,4.962,4.924,,,,
2015-07-13 22:36:34 UTC-6,Standard 6,Standard 6,Cenovus anions,Lifeng,,199.892,10.056,10.027,10.055,,,,
2015-07-13 21:30:39 UTC-6,Standard 5,Standard 5,Cenovus anions,Lifeng,,99.943,5.029,5.016,5.019,,,,
2015-07-13 20:24:23 UTC-6,Standard 4,Standard 4,Cenovus anions,Lifeng,,50.005,2.004,2.068,2.006,,,,
2015-07-13 19:18:32 UTC-6,Standard 3,Standard 3,Cenovus anions,Lifeng,,25.000,0.500,0.634,0.500,,,,
2015-07-13 18:12:41 UTC-6,Standard 2,Standard 2,Cenovus anions,Lifeng,,5.000,0.100,0.100,0.100,,,,
2015-07-13 17:06:58 UTC-6,Standard 1,Standard 1,Cenovus anions,Lifeng,,2.500,0.050,0.050,0.050,,,,
2015-07-13 15:59:14 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,2.190,,,,,
2015-07-09 10:54:52 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-07-09 09:49:18 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
2015-07-09 08:41:55 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,0.115,,,,,,
2015-07-06 10:52:11 UTC-6,MQ,Sample,Cenovus anions,Lifeng,,,,,,,,,
