[Header]	
System	Liquids	
S/W Version	1.00	
User	James	
Date/Time	11/9/2015 12:19:48 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	
Catalyst	TC/TN	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	Auto. Dil.	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.528 / Control exceeds range!	12/22/2014 12:05:57 PM	1	1	TC	33.59	9.060	TC:9.528mg/L	1	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.528 / Control exceeds range!	12/22/2014 12:10:26 PM	1	2	TC	34.99	9.417	TC:9.528mg/L	0	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.528 / Control exceeds range!	12/22/2014 12:14:38 PM	1	3	TC	35.14	9.455	TC:9.528mg/L	0	50	1.000	
Control	TC	TC QC 10ppm	TC2014/08	C:\TOC-L\Templates\TC_10ppm.tpl	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00	Control value: 9.528 / Control exceeds range!	12/22/2014 12:19:02 PM	1	4	TC	36.15	9.712	TC:9.528mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.59 / Control exceeds range!	12/22/2014 12:28:50 PM	1	1	IC	41.60	10.58	IC:10.59mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.59 / Control exceeds range!	12/22/2014 12:32:51 PM	1	2	IC	41.75	10.62	IC:10.59mg/L	0	50	1.000	
Control	IC	IC QC 10ppm	IC2014/08	C:\TOC-L\Templates\IC_10ppm.tpl	C:\TOC-L\CalCurves\IC_2014_08_18.2014_11_17_13_12_36.cal	1.00	Control value: 10.59 / Control exceeds range!	12/22/2014 12:36:49 PM	1	3	IC	41.63	10.59	IC:10.59mg/L	0	50	1.000	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 12:47:48 PM	1	1	TC	139.9	361.4	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	1	50	10.00	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 12:51:06 PM	1	2	TC	5.924	20.13	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	1	50	10.00	
Unknown	TOC	AOP1406B001a	Untitled	C:\TOC-L\Methods\TOC_2014_08_18.met	C:\TOC-L\CalCurves\TC_2014_08_18.2014_11_17_11_08_15.cal	1.00		12/22/2014 12:54:34 PM	1	3	TC	9.427	29.06	TOC:26.36mg/L TC:28.73mg/L IC:2.368mg/L	0	50	10.00	
